Date,Time,RMSSD,Coverage,HF,LF
2024-03-01,00:00:00,61.162,0.999,697.508,637.03
2024-03-01,00:05:00,81.451,0.937,975.673,1814.081
2024-03-01,00:10:00,85.62,1.004,1202.59,1086.165
2024-03-01,00:15:00,80.994,1.003,1239.224,989.24
2024-03-01,00:20:00,81.043,1.002,1329.576,803.146
2024-03-01,00:25:00,77.287,1.006,1266.448,596.825
2024-03-01,00:30:00,98.441,0.953,1382.92,2397.445
2024-03-01,00:35:00,87.044,0.973,961.922,1302.709
2024-03-01,00:40:00,72.213,0.974,787.7,1646.525
2024-03-01,00:45:00,67.843,0.982,711.126,1966.55
2024-03-01,00:50:00,76.776,0.915,1034.743,2344.715
2024-03-01,00:55:00,68.661,0.994,1136.58,1661.588
2024-03-01,01:00:00,65.063,1.004,940.989,551.575
2024-03-01,01:05:00,73.474,1.005,1312.167,443.2
2024-03-01,01:10:00,78.488,1.002,1363.617,986.325
2024-03-01,01:15:00,72.463,0.935,1109.305,787.963
2024-03-01,01:20:00,91.873,0.996,1495.182,792.473
2024-03-01,01:25:00,90.424,1.002,1609.305,855.912
2024-03-01,01:30:00,102.773,0.956,1961.796,2445.259
2024-03-01,01:35:00,92.104,0.828,976.061,1874.928
2024-03-01,01:40:00,77.06,0.857,931.974,1253.851
2024-03-01,01:45:00,48.597,0.907,239.209,3280.997
2024-03-01,01:50:00,63.809,0.89,748.162,2426.008
2024-03-01,01:55:00,53.932,0.85,384.061,874.126
2024-03-01,02:00:00,56.25,0.97,788.642,2804.948
2024-03-01,02:05:00,53.199,1.002,556.065,766.459
2024-03-01,02:10:00,54.139,0.927,566.53,1344.587
2024-03-01,02:15:00,63.337,0.912,739.319,2571.825
2024-03-01,02:20:00,57.182,0.997,659.89,660.626
2024-03-01,02:25:00,58.349,1.002,715.842,808.812
2024-03-01,02:30:00,56.721,0.961,560.95,1370.619
2024-03-01,02:35:00,66.765,0.898,691.126,3226.245
2024-03-01,02:40:00,49.597,1.006,378.025,1236.359
2024-03-01,02:45:00,39.117,0.972,196.68,577.609
2024-03-01,02:50:00,39.178,0.979,194.16,774.947
2024-03-01,02:55:00,44.728,1.003,266.272,1647.079
2024-03-01,03:00:00,27.703,1.003,81.209,1104.385
2024-03-01,03:05:00,57.28,0.923,347.82,1666.623
2024-03-01,03:10:00,73.202,1.003,658.813,2542.151
2024-03-01,03:15:00,80.673,0.969,755.935,5675.003
2024-03-01,03:20:00,69.274,0.975,867.615,1422.399
2024-03-01,03:25:00,72.458,0.995,793.917,1051.834
2024-03-01,03:30:00,67.541,1.004,979.71,1400.403
2024-03-01,03:35:00,67.229,0.955,885.707,2279.999
2024-03-01,03:40:00,64.433,0.939,700.616,993.895
2024-03-01,03:45:00,58.991,0.999,568.083,796.671
2024-03-01,03:50:00,56.942,1.002,628.738,758.866
2024-03-01,03:55:00,55.901,1.002,612.913,1235.567
2024-03-01,04:00:00,73.533,0.959,1135.837,1807.836
2024-03-01,04:05:00,73.828,0.951,950.469,1425.785
2024-03-01,04:10:00,79.903,0.754,538.064,1060.99
2024-03-01,04:15:00,70.241,0.997,721.016,2613.902
2024-03-01,04:20:00,79.467,0.828,762.506,4587.667
2024-03-01,04:25:00,59.187,0.958,438.639,1959.445
2024-03-01,04:30:00,65.303,1.006,628.232,772.613
2024-03-01,04:35:00,76.501,0.913,659.122,4682.026
2024-03-01,04:40:00,83.224,0.793,570.807,693.765
2024-03-01,04:45:00,77.042,0.996,973.594,2363.202
2024-03-01,04:50:00,88.621,0.925,1272.811,3689.01
2024-03-01,04:55:00,69.227,0.966,664.118,2427.736
2024-03-01,05:00:00,66.376,0.95,573.372,2910.717
2024-03-01,05:05:00,93.107,0.989,1154.406,7878.921
2024-03-01,05:10:00,74.567,1.003,1047.406,4465.358
2024-03-01,05:15:00,72.615,0.996,725.156,1841.06
2024-03-01,05:20:00,78.366,1.001,904.87,1657.53
2024-03-01,05:25:00,67.437,1.006,644.893,2378.882
2024-03-01,05:30:00,65.427,1.002,810.225,1011.067
2024-03-01,05:45:00,129.281,0.718,2906.508,2594.565
2024-03-01,05:50:00,108.139,1.002,2078.954,2015.57
2024-03-01,05:55:00,110.979,0.945,2013.73,4009.461
2024-03-01,06:05:00,94.66,0.923,1242.587,3896.145
2024-03-01,06:10:00,101.773,0.904,1453.548,5068.029
2024-03-01,06:15:00,97.566,0.99,1501.141,2598.103
2024-03-01,06:20:00,125.187,0.907,2299.43,2995.949
2024-03-01,06:25:00,106.233,1.004,1746.43,3210.416
2024-03-01,06:30:00,105.029,1.002,1644.884,3906.106
2024-03-01,06:35:00,115.375,0.989,2201.483,5795.41
2024-03-01,06:40:00,108.649,1.004,2139.406,2327.761
2024-03-01,06:45:00,97.239,0.996,1422.404,2186.211
2024-03-01,06:50:00,90.248,0.897,1107.354,2658.112
2024-03-01,06:55:00,90.955,0.789,805.53,3234.362
2024-03-01,07:00:00,107.664,1.004,1643.997,8618.972
2024-03-01,07:05:00,77.551,1.006,990.473,3009.356
2024-03-01,07:10:00,107.278,0.988,1500.94,3720.498
2024-03-01,07:15:00,101.752,0.969,1405.496,4478.199
2024-03-01,07:20:00,91.405,0.982,1045.743,2283.507
2024-03-01,07:25:00,74.911,0.961,962.689,2748.825
2024-03-01,07:30:00,79.136,0.7,984.191,4949.511
2024-03-01,07:35:00,66.513,0.795,551.708,1029.308
2024-03-02,02:00:00,99.416,1.007,1974.033,3592.085
2024-03-02,02:05:00,82.804,0.827,1186.324,1704.191
2024-03-02,02:10:00,108.429,0.915,1317.933,2268.595
2024-03-02,02:15:00,107.441,0.92,2077.446,4619.452
2024-03-02,02:20:00,78.517,0.985,1016.248,5067.999
2024-03-02,02:25:00,94.605,0.943,1431.178,3242.201
2024-03-02,02:30:00,101.294,0.918,1101.449,3970.704
2024-03-02,02:35:00,86.449,0.943,1513.949,3319.601
2024-03-02,02:40:00,84.051,1.006,1524.29,946.182
2024-03-02,02:45:00,76.072,1.004,1347.07,343.345
2024-03-02,02:50:00,70.015,1.003,1208.765,586.348
2024-03-02,02:55:00,69.402,0.964,932.288,2145.486
2024-03-02,03:00:00,59.186,1.003,633.608,1298.395
2024-03-02,03:05:00,56.198,1.004,589.867,1161.938
2024-03-02,03:10:00,64.981,1.003,676.16,751.593
2024-03-02,03:15:00,64.515,0.972,796.037,959.355
2024-03-02,03:20:00,98.741,1.004,1869.413,1354.615
2024-03-02,03:25:00,97.014,0.883,1038.441,1799.932
2024-03-02,03:30:00,78.671,1.001,1036.224,1741.148
2024-03-02,03:35:00,78.287,0.975,903.724,1469.059
2024-03-02,03:40:00,59.285,0.971,456.403,2683.777
2024-03-02,03:45:00,71.267,1.002,922.42,1117.553
2024-03-02,03:50:00,58.347,0.914,649.715,1518.68
2024-03-02,03:55:00,50.194,0.963,408.379,449.675
2024-03-02,04:00:00,50.379,0.98,387.554,589.431
2024-03-02,04:05:00,73.3,0.928,790.176,2414.376
2024-03-02,04:10:00,68.717,1.003,760.402,2786.765
2024-03-02,04:15:00,66.188,1.005,775.539,2871.413
2024-03-02,04:20:00,55.509,0.964,495.894,756.145
2024-03-02,04:25:00,53.497,0.996,371.691,754.912
2024-03-02,04:30:00,57.272,1.004,493.09,732.403
2024-03-02,04:35:00,64.813,0.934,517.584,819.81
2024-03-02,04:40:00,78.903,0.87,650.531,4385.156
2024-03-02,04:45:00,66.274,0.983,452.577,1969.553
2024-03-02,04:50:00,91.165,0.914,916.724,3826.021
2024-03-02,04:55:00,79.209,0.961,825.834,3753.081
2024-03-02,05:00:00,92.612,1.005,1386.832,3176.727
2024-03-02,05:05:00,73.014,0.945,1058.209,3823.603
2024-03-02,05:10:00,59.869,0.984,945.348,2111.975
2024-03-02,05:15:00,52.442,1.006,442.233,814.298
2024-03-02,05:20:00,70.329,0.942,872.608,3647.479
2024-03-02,05:25:00,65.807,0.976,712.062,1559.475
2024-03-02,05:30:00,63.356,1.0,760.445,1651.263
2024-03-02,05:35:00,94.877,0.963,1478.268,1297.962
2024-03-02,05:40:00,88.382,0.967,1054.789,1680.359
2024-03-02,06:00:00,76.679,1.004,776.847,2368.518
2024-03-02,06:05:00,78.278,0.995,1154.635,4451.574
2024-03-02,06:10:00,64.272,1.006,500.922,2263.277
2024-03-02,06:15:00,95.49,0.945,1012.501,4230.019
2024-03-02,06:20:00,99.815,1.005,1049.118,1462.225
2024-03-02,06:25:00,77.977,0.927,977.498,1591.168
2024-03-02,06:30:00,88.595,0.951,957.794,2362.852
2024-03-02,06:35:00,98.667,0.916,1304.169,2156.577
2024-03-02,06:40:00,74.689,1.006,860.954,985.077
2024-03-02,06:45:00,71.634,1.002,785.709,1561.381
2024-03-02,06:50:00,68.289,0.947,627.405,1319.115
2024-03-02,06:55:00,102.154,1.001,1504.412,2263.212
2024-03-02,07:00:00,70.345,0.77,717.483,2156.295
2024-03-02,07:05:00,69.612,1.002,1054.844,1642.048
2024-03-02,07:10:00,65.764,0.912,455.821,3834.589
2024-03-02,07:15:00,74.692,0.927,760.068,1187.617
2024-03-02,07:20:00,109.962,1.006,1854.89,1764.454
2024-03-02,07:25:00,128.799,0.986,2354.457,2516.724
2024-03-02,07:30:00,75.526,0.835,678.638,1468.414
2024-03-02,07:35:00,74.903,1.0,896.232,3015.943
2024-03-02,07:40:00,79.064,0.944,822.568,1569.822
2024-03-02,07:45:00,90.374,0.914,934.79,3095.17
2024-03-02,07:50:00,95.829,0.974,1567.014,3858.868
2024-03-02,07:55:00,81.979,0.964,960.513,1563.446
2024-03-02,08:00:00,113.536,0.909,1979.101,4255.224
2024-03-03,01:10:00,40.549,0.937,250.209,2728.806
2024-03-03,01:15:00,44.886,1.0,426.079,1869.289
2024-03-03,01:20:00,41.996,0.951,267.075,1770.076
2024-03-03,01:25:00,46.417,1.001,318.323,1186.253
2024-03-03,01:30:00,44.835,0.99,362.304,1318.209
2024-03-03,01:35:00,40.767,0.996,260.583,899.119
2024-03-03,01:40:00,40.467,0.996,324.823,908.117
2024-03-03,01:45:00,43.133,1.003,324.849,1444.399
2024-03-03,01:50:00,40.625,0.818,254.17,1448.94
2024-03-03,01:55:00,54.69,0.944,397.813,3015.087
2024-03-03,02:00:00,35.979,0.953,159.844,1182.494
2024-03-03,02:05:00,44.834,0.916,201.833,2209.622
2024-03-03,02:10:00,66.349,0.818,549.335,2472.876
2024-03-03,02:15:00,56.952,0.786,395.081,2419.189
2024-03-03,02:20:00,64.928,0.76,508.727,3891.611
2024-03-03,02:25:00,58.024,0.77,443.345,3354.579
2024-03-03,02:35:00,58.994,0.99,585.167,2228.04
2024-03-03,02:40:00,52.744,0.896,289.993,3506.478
2024-03-03,02:45:00,67.102,0.831,645.991,4414.221
2024-03-03,02:50:00,82.565,0.817,731.97,2959.698
2024-03-03,02:55:00,60.189,0.867,431.801,3831.005
2024-03-03,03:00:00,50.494,0.949,468.205,1015.996
2024-03-03,03:05:00,50.932,0.981,456.715,2503.021
2024-03-03,03:10:00,44.207,1.006,356.664,799.437
2024-03-03,03:15:00,60.22,0.929,554.124,1405.78
2024-03-03,03:20:00,51.938,0.947,429.1,939.256
2024-03-03,03:25:00,54.073,0.937,563.793,2144.287
2024-03-03,03:30:00,52.452,0.929,504.936,1235.618
2024-03-03,03:35:00,53.945,0.907,528.886,937.55
2024-03-03,03:40:00,68.266,0.829,600.277,2933.973
2024-03-03,03:45:00,60.658,0.995,506.207,3059.257
2024-03-03,03:50:00,60.329,0.826,319.88,2491.748
2024-03-03,03:55:00,67.308,0.975,417.484,2945.451
2024-03-03,04:00:00,45.637,0.938,271.545,1596.158
2024-03-03,04:05:00,70.993,0.959,621.734,1945.609
2024-03-03,04:10:00,52.806,0.965,333.235,2169.116
2024-03-03,04:15:00,52.166,0.927,466.463,2542.284
2024-03-03,04:20:00,65.635,0.955,550.409,4305.447
2024-03-03,04:25:00,71.708,0.995,703.204,1036.783
2024-03-03,04:30:00,66.046,0.899,674.519,1735.583
2024-03-03,04:35:00,59.897,1.004,718.082,1843.7
2024-03-03,04:40:00,52.249,0.991,447.941,1345.935
2024-03-03,04:45:00,48.906,1.005,465.547,1507.259
2024-03-03,04:50:00,46.615,1.003,428.499,768.085
2024-03-03,04:55:00,83.178,0.878,845.479,5902.822
2024-03-03,05:00:00,61.199,0.994,640.862,4250.243
2024-03-03,05:05:00,57.775,0.991,331.381,2929.387
2024-03-03,05:10:00,57.97,1.005,538.346,2178.496
2024-03-03,05:15:00,63.496,0.844,606.39,4274.559
2024-03-03,05:20:00,57.818,0.92,416.478,3125.937
2024-03-03,05:25:00,52.708,0.859,403.603,2927.672
2024-03-03,05:30:00,66.356,0.861,564.698,4473.77
2024-03-03,05:35:00,66.781,0.919,900.179,3499.46
2024-03-03,05:40:00,67.581,0.965,507.934,2454.702
2024-03-03,05:45:00,58.625,0.959,568.701,3384.472
2024-03-03,05:50:00,48.492,0.966,322.269,983.441
2024-03-03,05:55:00,57.752,0.956,464.9,4428.002
2024-03-03,06:00:00,61.063,0.989,482.108,3659.878
2024-03-03,06:05:00,52.542,0.936,448.926,1675.644
2024-03-03,06:10:00,64.491,0.986,788.908,1620.965
2024-03-03,06:15:00,57.884,0.925,442.746,2324.124
2024-03-03,06:20:00,62.95,1.005,858.8,1074.439
2024-03-03,06:25:00,53.01,1.004,527.058,1272.395
2024-03-03,06:30:00,49.281,1.005,463.109,593.559
2024-03-03,06:35:00,54.762,0.882,387.588,3863.171
2024-03-03,06:40:00,56.736,0.984,595.94,3262.963
2024-03-03,06:45:00,74.714,0.932,1101.322,4207.491
2024-03-03,06:50:00,50.455,1.002,386.856,2299.193
2024-03-03,06:55:00,71.453,1.003,1120.082,2347.573
2024-03-03,07:00:00,44.728,0.969,288.711,2549.647
2024-03-03,07:05:00,56.257,0.926,628.817,3375.481
2024-03-03,07:10:00,60.482,0.905,676.968,3572.591
2024-03-03,07:15:00,67.943,0.942,778.881,2925.597
2024-03-03,07:20:00,60.069,1.003,708.131,2540.15
2024-03-03,07:25:00,58.033,0.939,659.796,2279.041
2024-03-03,07:30:00,50.355,0.827,428.842,2030.523
2024-03-03,07:35:00,45.026,0.939,308.187,2215.63
2024-03-03,07:40:00,56.111,0.923,513.405,3941.187
2024-03-03,07:45:00,46.142,1.002,256.672,2611.432
2024-03-03,07:50:00,43.402,0.989,325.645,3079.24
2024-03-03,07:55:00,39.213,1.006,286.432,800.07
2024-03-03,08:00:00,35.59,0.988,212.413,1074.574
2024-03-03,08:05:00,31.897,0.946,149.697,1191.344
2024-03-03,08:10:00,69.379,0.924,620.732,2195.933
2024-03-03,08:15:00,54.673,0.987,446.789,1880.614
2024-03-03,08:20:00,46.355,0.958,301.283,2458.116
2024-03-03,08:25:00,48.41,0.998,412.885,3793.084
2024-03-03,08:30:00,57.583,0.92,339.12,1445.904
2024-03-03,08:35:00,68.58,0.94,849.404,8349.44
