Modelo,Steps,Lags,MSE
LightGBM,5,2,4.49220901109776
LightGBM,5,5,3.825201931719041
LightGBM,5,7,3.9556859096055987
LightGBM,5,10,3.9345627353520825
LightGBM,10,2,6.305651640464395
LightGBM,10,5,4.704090082500789
LightGBM,10,7,4.315267988946793
LightGBM,10,10,4.414714146199121
LightGBM,15,2,6.017287133659582
LightGBM,15,5,5.995536975437779
LightGBM,15,7,5.8582254104971465
LightGBM,15,10,6.762256693732951
LightGBM,20,2,6.3803880274714375
LightGBM,20,5,5.140411451881997
LightGBM,20,7,6.234479089031746
LightGBM,20,10,6.218614351250806
LightGBM,25,2,6.354676874350925
LightGBM,25,5,5.492543714404201
LightGBM,25,7,6.466355027924805
LightGBM,25,10,6.8102289355731935
LightGBM,30,2,5.912944101207669
LightGBM,30,5,5.354994077999252
LightGBM,30,7,5.459516458482573
LightGBM,30,10,6.34598461303692
XGBoost,5,2,4.224083910643822
XGBoost,5,5,3.4250835795130117
XGBoost,5,7,3.1975470406207025
XGBoost,5,10,4.083195112989051
XGBoost,10,2,7.173510730844282
XGBoost,10,5,5.120590419460496
XGBoost,10,7,4.5698622989279105
XGBoost,10,10,4.4031738808727825
XGBoost,15,2,6.401265089554363
XGBoost,15,5,5.651367525506066
XGBoost,15,7,4.564216992535512
XGBoost,15,10,4.57250850215593
XGBoost,20,2,8.876067411065742
XGBoost,20,5,6.15658599585804
XGBoost,20,7,5.367226268615923
XGBoost,20,10,5.188329781625361
XGBoost,25,2,9.910494847846566
XGBoost,25,5,5.754726516463561
XGBoost,25,7,5.429964018821483
XGBoost,25,10,5.089152310279315
XGBoost,30,2,7.123367964218778
XGBoost,30,5,5.625027134680325
XGBoost,30,7,4.965312588522405
XGBoost,30,10,4.5391763893543
KNN,5,2,8.192000000000004
KNN,5,5,31.591999999999995
KNN,5,7,26.544000000000004
KNN,5,10,26.543999999999972
KNN,10,2,5.783999999999998
KNN,10,5,26.259999999999984
KNN,10,7,33.24399999999999
KNN,10,10,34.93999999999999
KNN,15,2,10.309333333333335
KNN,15,5,26.184000000000005
KNN,15,7,25.74399999999999
KNN,15,10,63.168000000000035
KNN,20,2,9.174000000000003
KNN,20,5,20.808000000000003
KNN,20,7,53.324
KNN,20,10,61.262000000000036
KNN,25,2,10.803200000000002
KNN,25,5,30.623999999999995
KNN,25,7,31.768000000000008
KNN,25,10,60.63999999999999
KNN,30,2,12.330666666666673
KNN,30,5,67.08133333333333
KNN,30,7,36.60666666666666
KNN,30,10,47.07866666666667
RandomForest,5,2,3.5323428820637224
RandomForest,5,5,4.927529155555547
RandomForest,5,7,4.1409400000000005
RandomForest,5,10,7.320300000000016
RandomForest,10,2,5.975791218576071
RandomForest,10,5,3.9202656250000003
RandomForest,10,7,6.611150000000005
RandomForest,10,10,15.360170000000005
RandomForest,15,2,9.179871808258605
RandomForest,15,5,8.899573750000002
RandomForest,15,7,10.176606666666654
RandomForest,15,10,13.476519999999997
RandomForest,20,2,7.664465172903315
RandomForest,20,5,13.047744749999993
RandomForest,20,7,11.499688933333335
RandomForest,20,10,10.042319999999998
RandomForest,25,2,6.194533530984144
RandomForest,25,5,10.968811955555548
RandomForest,25,7,9.901147111111104
RandomForest,25,10,26.085540000000005
RandomForest,30,2,5.470981863442299
RandomForest,30,5,8.338074188662134
RandomForest,30,7,15.675030370370374
RandomForest,30,10,15.173983333333334
MLP,5,2,6.742109856314661
MLP,5,5,6.668879865000657
MLP,5,7,3.757135499447613
MLP,5,10,3.77004434745457
MLP,10,2,5.437965186691105
MLP,10,5,5.114445258101592
MLP,10,7,8.992806508547718
MLP,10,10,6.035215827627325
MLP,15,2,6.387377902326123
MLP,15,5,6.96289053392152
MLP,15,7,6.567278198549631
MLP,15,10,14.051380889111504
MLP,20,2,7.996009102112433
MLP,20,5,7.310477433042797
MLP,20,7,5.0286548799357424
MLP,20,10,6.1507769621121415
MLP,25,2,12.86459363571331
MLP,25,5,6.996552253246985
MLP,25,7,6.904739162929104
MLP,25,10,5.993761489454724
MLP,30,2,5.922115254295395
MLP,30,5,17.025938508359022
MLP,30,7,8.111215653722555
MLP,30,10,5.8172485774984874
